fecha,ExpPetrol
Jan-92,130960
Feb-92,102964
Mar-92,139098
Apr-92,123237
May-92,126696
Jun-92,96352
Jul-92,143865
Aug-92,140224
Sep-92,125583
Oct-92,152280
Nov-92,54879
Dec-92,76805
Jan-93,131310
Feb-93,119855
Mar-93,124330
Apr-93,130698
May-93,119389
Jun-93,126702
Jul-93,105731
Aug-93,78962
Sep-93,108988
Oct-93,137161
Nov-93,87979
Dec-93,52155
Jan-94,102175
Feb-94,110672
Mar-94,99217
Apr-94,102788
May-94,67246
Jun-94,114334
Jul-94,117821
Aug-94,132112
Sep-94,106149
Oct-94,125007
Nov-94,106460
Dec-94,128743
Jan-95,134091
Feb-95,146625
Mar-95,153080
Apr-95,172720
May-95,199487
Jun-95,191018
Jul-95,180403
Aug-95,229579
Sep-95,188181
Oct-95,212246
Nov-95,185638
Dec-95,191612
Jan-96,195447
Feb-96,178465
Mar-96,265200
Apr-96,273468
May-96,253884
Jun-96,214360
Jul-96,236404
Aug-96,208749
Sep-96,262917
Oct-96,307212
Nov-96,260488
Dec-96,290407
Jan-97,252724
Feb-97,198861
Mar-97,220229
Apr-97,248761
May-97,195232
Jun-97,201537
Jul-97,181258
Aug-97,225850
Sep-97,189433
Oct-97,249680
Nov-97,281027
Dec-97,262548
Jan-98,194094
Feb-98,184248
Mar-98,196122
Apr-98,188295
May-98,205036
Jun-98,154838
Jul-98,178280
Aug-98,184782
Sep-98,200033
Oct-98,235367
Nov-98,191490
Dec-98,216267
Jan-99,183128
Feb-99,202783
Mar-99,249687
Apr-99,260516
May-99,265237
Jun-99,286123
Jul-99,349111
Aug-99,338623
Sep-99,410810
Oct-99,364242
Nov-99,365557
Dec-99,478926
Jan-00,422416
Feb-00,400119
Mar-00,371583
Apr-00,349699
May-00,433069
Jun-00,392918
Jul-00,420233
Aug-00,432064
Sep-00,363020
Oct-00,344809
Nov-00,450029
Dec-00,395529
Jan-01,353137
Feb-01,298192
Mar-01,228768
Apr-01,286872
May-01,278404
Jun-01,241837
Jul-01,231077
Aug-01,388796
Sep-01,340703
Oct-01,227361
Nov-01,161474
Dec-01,248443
Jan-02,218527
Feb-02,237387
Mar-02,246574
Apr-02,305545
May-02,243044
Jun-02,297260
Jul-02,272543
Aug-02,244872
Sep-02,317654
Oct-02,319304
Nov-02,222969
Dec-02,349525
Jan-03,297371
Feb-03,281612
Mar-03,294370
Apr-03,241924
May-03,261172
Jun-03,298640
Jul-03,323218
Aug-03,308629
Sep-03,234009
Oct-03,305846
Nov-03,245377
Dec-03,291072
Jan-04,315577
Feb-04,242357
Mar-04,329365
Apr-04,282544
May-04,363896
Jun-04,372968
Jul-04,376732
Aug-04,349022
Sep-04,415669
Oct-04,449381
Nov-04,334777
Dec-04,395132
Jan-05,314010
Feb-05,348719
Mar-05,437833
Apr-05,368911
May-05,414302
Jun-05,495986
Jul-05,482652
Aug-05,623704
Sep-05,551757
Oct-05,508206
Nov-05,481568
Dec-05,531736
Jan-06,471390
Feb-06,410562
Mar-06,565564
Apr-06,530051
May-06,603094
Jun-06,633536
Jul-06,720522
Aug-06,563579
Sep-06,434755
Oct-06,476007
Nov-06,404688
Dec-06,519379
Jan-07,445705
Feb-07,348735
