"Date","SLV","SLVP"
2012-02-03,32.69,25.55
2012-02-06,32.68,25.15
2012-02-07,33.26,25.31
2012-02-08,33.04,25.21
2012-02-09,32.9,25.13
2012-02-10,32.51,24.7
2012-02-13,32.75,24.82
2012-02-14,32.54,24.59
2012-02-15,32.45,24.71
2012-02-16,32.57,24.84
2012-02-17,32.28,24.84
2012-02-21,33.38,25.29
2012-02-22,33.44,25.78
2012-02-23,34.4,26.02
2012-02-24,34.37,26.02
2012-02-27,34.36,25.75
2012-02-28,35.83,26.49
2012-02-29,33.55,25.73
2012-03-01,34.44,26
2012-03-02,33.76,25.54
2012-03-05,33.03,24.59
2012-03-06,32.01,23.77
2012-03-07,32.41,24.21
2012-03-08,32.85,24.58
2012-03-09,33.22,24.68
2012-03-12,32.63,24.07
2012-03-13,32.26,24.04
2012-03-15,31.53,23.15
2012-03-16,31.59,23.24
2012-03-19,31.98,23.2
2012-03-20,31.15,22.73
2012-03-21,31.21,23.1
2012-03-22,30.54,22.31
2012-03-23,31.24,23.12
2012-03-26,31.93,23.73
2012-03-27,31.59,23.25
2012-03-28,31.15,22.4
2012-03-29,31.35,22.08
2012-04-03,31.65,23.33
2012-04-04,30.32,22
2012-04-05,30.72,21.81
2012-04-09,30.59,21.57
2012-04-10,30.79,21.37
2012-04-11,30.65,21.62
2012-04-12,31.42,22.3
2012-04-13,30.55,21.88
2012-04-17,30.8,21.73
2012-04-18,30.64,21.56
2012-04-20,30.75,21.15
2012-04-23,29.97,20.47
2012-04-24,29.93,20.37
2012-04-26,30.18,21.53
2012-04-27,30.37,21.62
2012-04-30,30.11,21.5
2012-05-02,29.78,21.36
2012-05-03,29.29,20.37
2012-05-04,29.41,20.48
2012-05-07,29.21,19.88
2012-05-09,28.38,19.72
2012-05-10,28.25,19.46
2012-05-11,28.08,19.29
2012-05-14,27.42,17.8
2012-05-15,26.86,17.46
2012-05-16,26.37,17.1
2012-05-17,27.24,17.59
2012-05-18,27.79,17.99
2012-05-21,27.68,17.91
2012-05-22,27.34,18.38
2012-05-24,27.44,18.25
2012-05-29,27.1,18.55
2012-05-30,27.12,17.83
2012-05-31,26.96,18.19
2012-06-01,27.62,18.6
2012-06-04,27.46,18.75
2012-06-05,27.72,18.84
2012-06-06,28.51,19.47
2012-06-07,27.79,19.36
2012-06-08,27.75,19.09
2012-06-11,27.79,19.02
2012-06-12,28.12,19.28
2012-06-13,28.01,19.28
2012-06-18,27.87,19.46
2012-06-19,27.64,19.85
2012-06-20,27.26,19.82
2012-06-21,26.12,18.94
2012-06-22,26.15,18.28
2012-06-26,26.3,18.14
2012-06-28,25.63,17.89
2012-07-02,26.73,18.27
2012-07-03,27.49,19.32
2012-07-05,26.88,19.48
2012-07-10,26.06,18.45
2012-07-11,26.25,17.86
2012-07-12,26.35,17.85
2012-07-13,26.44,18.16
2012-07-18,26.42,17.95
2012-07-19,26.42,18
2012-07-20,26.48,17.97
2012-07-23,26.21,17.43
2012-07-26,26.71,18.35
2012-08-01,26.54,18.23
2012-08-02,26.31,18.1
2012-08-06,27.11,18.86
2012-08-07,27.27,18.87
2012-08-08,27.21,19.14
2012-08-09,27.29,19.34
2012-08-13,26.92,19.38
2012-08-14,26.96,18.8
2012-08-15,26.97,18.65
2012-08-16,27.37,18.77
2012-08-20,27.95,19.53
2012-08-21,28.37,20
2012-08-22,28.92,20.18
2012-08-23,29.6,20.6
2012-08-24,29.74,20.67
2012-08-27,29.74,20.59
2012-08-28,29.93,20.44
2012-08-29,29.75,19.93
2012-08-30,29.44,19.5
2012-08-31,30.79,20.64
2012-09-04,31.36,21.05
2012-09-05,31.27,21.08
2012-09-06,31.67,21.59
2012-09-07,32.64,22.46
2012-09-10,32.29,21.85
2012-09-11,32.41,21.86
2012-09-13,33.61,23.14
2012-09-14,33.6,24.1
2012-09-17,32.99,23.71
2012-09-18,33.71,24.21
2012-09-19,33.57,24.5
2012-09-20,33.58,24.01
2012-09-21,33.48,24.51
2012-09-24,32.93,23.69
2012-09-25,32.68,23.32
2012-09-26,32.87,23.16
2012-09-27,33.58,24.01
2012-09-28,33.48,23.81
2012-10-01,33.65,23.97
2012-10-02,33.5,23.99
2012-10-03,33.51,23.83
2012-10-04,33.93,24.61
2012-10-05,33.45,24.57
2012-10-08,32.97,24
2012-10-09,32.83,23.45
2012-10-10,32.95,23.55
2012-10-11,32.9,23.93
2012-10-12,32.45,23.56
2012-10-15,31.66,23.35
2012-10-18,31.73,23.61
2012-10-19,31.09,23.55
2012-10-22,31.39,23.78
2012-10-23,30.68,23.42
2012-10-26,31.08,23.64
2012-10-31,31.27,24.21
2012-11-01,31.22,24.43
2012-11-05,30.17,23.46
2012-11-07,30.83,23.69
2012-11-08,31.38,23.62
2012-11-09,31.54,23.54
2012-11-13,31.4,23.37
2012-11-14,31.64,21.74
2012-11-15,31.53,21.47
2012-11-16,31.21,21.55
2012-11-19,32.05,22.24
2012-11-20,32.1,22.16
2012-11-21,32.29,22.25
2012-11-23,32.98,22.6
2012-11-26,33.02,22.5
2012-11-29,33.13,21.87
2012-11-30,32.36,21.92
2012-12-03,32.52,21.9
2012-12-04,31.9,21.8
2012-12-06,31.93,21.52
2012-12-10,32.14,22.09
2012-12-12,32.37,22.86
2012-12-13,31.53,22.3
2012-12-14,31.17,22.38
2012-12-17,31.2,22.21
2012-12-18,30.65,21.69
2012-12-19,30.11,21.53
2012-12-20,29,21.31
2012-12-21,29,21.2
2012-12-24,28.94,20.98
2012-12-26,29.01,21.14
2012-12-27,29.24,21.24
2012-12-28,29.1,20.99
2012-12-31,29.37,21.69
2013-01-02,29.92,22.32
2013-01-03,29.18,21.71
2013-01-04,29.24,21.46
2013-01-07,29.18,21.49
2013-01-09,29.35,21.26
2013-01-10,29.78,21.99
2013-01-14,30.04,21.86
2013-01-15,30.36,22
2013-01-16,30.45,21.87
2013-01-18,30.81,21.88
2013-01-22,31.12,21.64
2013-01-23,31.19,21.55
2013-01-24,30.65,20.82
2013-01-25,30.21,20.26
2013-01-28,29.85,20.04
2013-01-29,30.32,20.39
2013-01-30,30.92,20.48
2013-01-31,30.44,20.16
2013-02-01,30.78,20.57
2013-02-04,30.69,20.77
2013-02-05,30.76,20.61
2013-02-07,30.46,20.7
2013-02-08,30.43,20.8
2013-02-11,30,20.33
2013-02-12,30.09,20.18
2013-02-13,29.77,20.18
2013-02-14,29.46,20.08
2013-02-15,28.83,19.46
2013-02-19,28.45,19.21
2013-02-20,27.59,18.24
2013-02-21,27.73,18.53
2013-02-22,27.83,18.35
2013-02-25,28.07,18.46
2013-02-26,28.41,18.5
2013-02-27,28.01,18.57
2013-02-28,27.54,18.25
2013-03-01,27.62,17.9
2013-03-04,27.6,17.34
2013-03-05,27.75,17.35
2013-03-06,28.1,17.8
2013-03-07,27.91,17.94
2013-03-08,28,17.85
2013-03-12,28.2,18.28
2013-03-13,27.94,18.03
2013-03-14,27.8,17.87
2013-03-15,27.8,17.87
2013-03-18,27.95,17.94
2013-03-19,27.93,17.96
2013-03-20,27.81,17.91
2013-03-21,28.18,18.28
2013-03-22,27.75,18.12
2013-03-25,27.84,18.03
2013-03-26,27.75,18.03
2013-03-27,27.73,17.97
2013-03-28,27.43,18.05
2013-04-01,27.09,17.8
2013-04-02,26.35,17.17
2013-04-03,26.09,16.48
2013-04-04,25.99,16.98
2013-04-05,26.39,16.92
2013-04-08,26.32,16.79
2013-04-09,27.03,17.3
2013-04-10,26.68,17.04
2013-04-11,26.7,16.92
2013-04-12,25.28,15.96
2013-04-15,22.09,14.29
2013-04-16,22.66,14.07
2013-04-17,22.44,13.23
2013-04-18,22.4,13.6
2013-04-19,22.4,13.65
2013-04-22,22.62,13.75
2013-04-23,22.18,13.57
2013-04-24,22.42,14.25
2013-04-25,23.49,14.8
2013-04-26,23.1,14.4
2013-04-29,23.54,14.53
2013-04-30,23.46,14.35
2013-05-01,22.86,14.4
2013-05-02,23.02,14.41
2013-05-03,23.29,14.5
2013-05-06,23.18,14.31
2013-05-07,23.1,14.05
2013-05-08,23.12,14.4
2013-05-09,22.89,14.03
2013-05-10,22.98,14.12
2013-05-13,22.83,13.81
2013-05-14,22.57,13.59
2013-05-15,21.76,13.18
2013-05-16,21.95,13.1
2013-05-17,21.4,12.66
2013-05-20,22.28,13.11
2013-05-21,21.62,13.05
