gender	hand	eyecolor	glasses	california	birthmonth	birthday	birthyear	ageinmonths	height	graduate	oncampus	time	walk	hsclass	HSCA	calculus	AP	cell	ipod	sleep	alcohol	speed	UCLA	book	relax	instructor	tire	Quarter
female	left	hazel	yes	yes	sept	16	1989	228	69	2011	no	5	walk	450	yes	yes	no	yes	yes	5	5	85	14000	no	volleyball	Davis	front right	Fall08
male	right	brown	no	no	mar	31	1989	234	71	2011	yes	20	walk	70	no	yes	no	yes	yes	3	3	40	16000	yes	Baseball	Davis	rear left	Fall08
female	right	brown	yes	yes	aug	5	1990	218	64	2012	yes	20	walk	573	yes	yes	no	yes	yes	6	0	87	30000	yes	playing guitar	Ioudina	rear left	Fall08
female	left	brown	yes	yes	july	9	1988	242	60	2010	no	25	car (by yourself)	350	yes	yes	no	yes	yes	7	3	110	25000	yes	spoken word	Davis	rear left	Fall08
male	right	brown	no	yes	mar	3	1988	246	70	2010	no	30	car (by yourself)	500	yes	yes	no	yes	no	7	0	110	6578	yes	magic	Esfandiari	rear left	Fall08
female	right	brown	yes	yes	feb	12	1988	247	61	2010	no	30	bicycle	300	yes	yes	no	yes	yes	6	6	120	10000	no	volunteering	Davis	rear left	Fall08
female	right	brown	yes	yes	dec	13	1988	237	65	2011	yes	24	walk	648	yes	yes	yes	yes	yes	6	0	90	40000	yes	stargazing	Davis	rear left	Fall08
female	right	brown	yes	yes	oct	18	1988	239	65	2010	yes	10	other	500	yes	yes	no	yes	yes	4	0	90	20000	yes	dancing	Davis	rear right	Fall08
female	right	brown	no	no	aug	29	1988	241	61	2010	yes	20	other	180	no	yes	no	yes	yes	6	0	80	35000	no	singing	Gould	rear left	Fall08
male	right	brown	no	yes	feb	25	1985	283	69	2010	no	10	bicycle	100	yes	no	no	yes	yes	6	0	95	15000	yes	bouldering	Davis	front right	Fall08
female	right	brown	yes	yes	april	17	1988	246	63	2010	no	15	walk	350	yes	yes	yes	yes	yes	6	2	110	10000	no	shopping	Davis	rear right	Fall08
male	right	brown	no	yes	july	8	1989	230	72	2011	yes	24	walk	650	yes	yes	no	yes	yes	7	3	90	30000	yes	Basketball	Davis	rear right	Fall08
male	right	brown	yes	yes	sept	29	1989	228	70	2011	yes	15	walk	200	yes	yes	no	yes	yes	3	0	110	35000	no	making movies	Davis	front right	Fall08
male	right	brown	yes	yes	mar	26	1987	258	68	2009	no	30	walk	1000	yes	yes	yes	yes	yes	6	0	70	1000000	yes	reading	Davis	front left	Fall08
female	ambidextrous	blue	no	yes	july	5	1989	288	63	2011	yes	18	walk	538	yes	no	yes	yes	yes	5.5	1	102	19000	yes	running	Ioudina	rear left	Fall08
male	left	blue	yes	no	feb	28	1983	307	78	2009	no	15	walk	524	yes	no	no	yes	yes	5	0	120	20000	no	cars	Gould	front left	Fall08
female	right	brown	yes	yes	july	28	1989	230	65	2011	no	40	carpool	500	yes	yes	no	yes	yes	5	0	70	20000	yes	dancing	Davis	front right	Fall08
male	ambidextrous	brown	yes	no	sept	6	1982	312	71	2010	no	30	car (by yourself)	50	yes	yes	no	yes	no	3	1	120	5000	no	none	Davis	front right	Fall08
female	right	brown	no	yes	sept	13	1989	228	64	2011	yes	12	walk	81	yes	yes	no	no	yes	4	0	45	3000	yes	baking	Esfandiari	front left	Fall08
male	right	other	yes	yes	mar	5	1989	234	69	2011	yes	20	walk	281	yes	no	no	yes	yes	6	0	0	25000	yes	Reading	Davis	front right	Fall08
male	right	brown	no	yes	dec	2	1989	225	70	2011	yes	20	walk	500	yes	yes	no	yes	yes	5	0	100	20000	no	none	Ioudina	rear left	Fall08
female	right	brown	yes	yes	nov	26	1988	238	62	2010	no	10	walk	576	yes	no	no	yes	yes	6	0	70	12000	yes	playing music	Davis	rear left	Fall08
female	right	brown	yes	no	nov	3	1987	250	63	2010	no	17	walk	437	yes	yes	yes	yes	yes	4	0	80	18000	no	watching TV	Davis	front right	Fall08
female	right	brown	yes	no	nov	26	1989	226	61	2011	yes	0.6	walk	1200	yes	yes	no	yes	no	4	0	60	20000	yes	none	Gould	rear left	Fall08
male	left	brown	yes	yes	jan	24	1988	248	61	2010	yes	12	walk	898	yes	yes	yes	yes	yes	7	0	85	15000	yes	singing	Davis	front left	Fall08
female	right	brown	yes	yes	dec	18	1988	237	62	2011	yes	30	walk		yes	yes	no	yes	yes	7	0	75		yes	Spending time with friends	Davis	rear left	Fall08
female	right	brown	yes	no	april	27	1982	317	62	2010	no	25	bus	300	yes	yes	no	yes	yes	6	1	95	15000	yes	yoga	Esfandiari	rear right	Fall08
female	right	blue	no	yes	jan	10	1989	236	68	2011	yes	5	walk	800	yes	no	no	yes	yes	6	0	103	8000	yes	softball	Davis	front left	Fall08
male	right	brown	no	no	may	12	1990	220	67	2009	no	70	car (by yourself)		no	yes	no	yes	yes	5	1	100	20	yes	Research	Davis	front right	Fall08
male	right	blue	no	yes	aug	14	1988	241	72	2010	no	20	walk	190	yes	yes	no	yes	yes	6.5	0	110	29000	yes	Basketball	Davis	front left	Fall08
male	right	blue	no	yes	aug	14	1988	241	72	2010	no	20	walk	190	yes	yes	no	yes	yes	6.5	0	110	29000	yes	Basketball	Davis	front left	Fall08
female	right	hazel	yes	yes	aug	13	1989	229	67	2011	no	3	walk	500	yes	yes	yes	yes	yes	12	8	90	7000	yes	reading	Davis	rear left	Fall08
male	right	brown	yes	yes	oct	10	1988	239	72	2010	no	15	walk	1000	yes	yes	yes	yes	no	6	0	0	10000	yes	violin	Esfandiari	front right	Fall08
female	right	brown	yes	yes	april	4	1989	233	60	2011	yes	20	walk	600	yes	yes	no	yes	yes	6.5	0	90	20000	yes	reading	Ioudina	front left	Fall08
male	right	brown	yes	yes	april	3	1987	257	60	2009	no	20	walk	400	yes	no	no	yes	yes	8	0	110	12000	yes	Politics	Ioudina	rear left	Fall08
female	left	green	yes	yes	july	27	1989	225	67	2011	yes	10	walk	650	yes	no	no	yes	yes	9	0	100	50000	yes	running	Davis	front left	Fall08
