TIEMPO_EMPRESA,ANALFABETISMO,EDUCACION,GENERO,EDAD,SINDICADO,SEGUNDO_TRABAJO,HORAS_REMUNERADAS,HORAS_NO_REMUNERADAS,EXPERIENCIA,ln_INGRESOS,ING_H,ln_ING_H,INDIGENA,AFRO
0.25,0,11,0,58,0,0,48,2,41,13.71957878501095,4731.90625,8.46208341298317,0,0
2,0,11,0,42,0,0,48,2,25,13.815510557964274,5208.333333333333,8.558015185936492,0,0
0.8333333333333334,0,11,1,44,0,0,54,21,27,13.71957878501095,4206.138888888889,8.344300377326785,0,0
0.25,0,11,0,19,0,0,48,8,2,13.71957878501095,4731.90625,8.46208341298317,0,1
6,0,11,0,49,0,0,48,0,32,13.9108207377686,5729.166666666667,8.653325365740818,0,0
5,0,11,1,43,0,0,20,20,26,10.819778284410283,625,6.437751649736401,0,0
0.08333333333333333,0,16,1,35,0,0,50,18,13,13.997832114758229,6000,8.699514748210191,0,0
6.833333333333333,0,11,0,57,0,0,48,10,40,13.71957878501095,4731.90625,8.46208341298317,0,0
6.833333333333333,0,13,0,30,0,0,60,2,11,14.557447902693651,8750,9.07680897935166,0,0
0.16666666666666666,0,13,1,24,0,0,48,20,5,13.71957878501095,4731.90625,8.46208341298317,0,0
3,0,15,0,34,0,0,50,7,13,13.997832114758229,6000,8.699514748210191,0,0
7,0,11,0,34,0,0,48,9,17,13.9108207377686,5729.166666666667,8.653325365740818,0,0
2,0,16,1,26,0,0,54,21,4,14.151982794585487,6481.481481481482,8.776704386901322,0,0
0.25,0,9,1,49,0,0,30,63,34,13.304684934198283,5000,8.517193191416238,0,0
10,1,0,1,73,0,0,40,10,67,12.89921982609012,2500,7.824046010856292,0,0
1,0,11,0,45,0,0,40,21,28,12.611537753638338,1875,7.536363938404511,0,0
16,0,11,1,32,0,0,48,7,15,13.71957878501095,4731.90625,8.46208341298317,0,0
0.25,0,2,0,24,0,0,48,0,16,14.15910026235435,7343.75,8.901604890326569,0,0
0.08333333333333333,0,5,1,29,0,0,48,14,18,13.71899965758343,4729.166666666667,8.461504285555648,0,0
0.08333333333333333,0,11,1,20,0,0,48,14,3,13.71899965758343,4729.166666666667,8.461504285555648,0,0
1,0,13,0,33,0,0,48,14,14,13.815510557964274,5208.333333333333,8.558015185936492,0,0
1,0,9,0,66,0,0,30,0,51,13.458835614025542,5833.333333333333,8.671343871243495,0,0
3,0,13,1,24,0,0,48,0,5,13.997832114758229,6250,8.740336742730447,0,0
3,0,14,1,34,0,0,48,2,14,14.508657738524219,10416.666666666666,9.251162366496438,0,0
5,0,13,0,41,0,0,40,12,22,13.71957878501095,5678.2875,8.644404969777122,0,0
0.6666666666666666,0,11,0,19,0,0,48,0,2,13.71957878501095,4731.90625,8.46208341298317,0,0
0.16666666666666666,0,5,0,32,0,0,48,5,21,13.71957878501095,4731.90625,8.46208341298317,0,0
10.666666666666666,0,13,0,38,0,0,60,10,19,13.815510557964274,4166.666666666667,8.334871634622283,0,0
8,0,16,1,34,0,0,60,20,12,14.978661367769956,13333.333333333334,9.498022444427964,0,0
1,0,11,1,46,0,0,60,12,29,13.304684934198283,2500,7.824046010856292,0,0
