"","ID","POBREZA","ANALFABETISMO","ETNIA","EDUCACION","GENERO","QUEHACERES_TIEMPO","AUTOCONSTRUCCION_TIEMPO","ROPA_TIEMPO","ANCIANOS_TIEMPO","NINYOS_TIEMPO","QUEHACERES_FUERA_TIEMPO","ANIMALES_TIEMPO","INGRESOS","EXTRAS_TIEMPO","SINDICADO","CAMBIO_TRABAJO","HORAS_SEG_TRABAJO","SEGUNDO_TRABAJO","HORAS_PRIM_TRABAJO","CONTRATO","TERMINO_CONTRATO","MODALIDAD_CONTRATO","TIEMPO_EMPRESA","HORAS_REMUNERADAS","HORAS_NO_REMUNERADAS"
"1",1,1,1,6,11,1,2,0,0,0,0,0,0,908526,0,2,2,0,2,48,1,2,2,3,48,2
"2",2,2,1,6,11,1,2,0,0,0,0,0,0,1e+06,0,2,2,0,2,48,1,1,2,24,48,2
"3",3,2,1,6,11,2,21,0,0,0,0,0,0,908526,0,2,2,0,2,54,1,1,2,10,54,21
"4",4,NA,1,5,11,1,8,0,0,0,0,0,0,908526,0,2,2,0,2,48,1,1,2,3,48,8
"5",5,2,1,6,11,1,0,0,0,0,0,0,0,1100000,0,2,1,0,2,48,1,1,2,72,48,0
"6",6,NA,1,6,11,2,20,0,0,0,0,0,0,50000,0,2,2,0,2,20,2,NA,NA,60,20,20
"7",7,1,1,6,16,2,18,0,0,0,0,0,0,1200000,0,2,2,0,2,50,1,1,2,1,50,18
"8",8,2,1,6,11,1,10,0,0,0,0,0,0,908526,0,2,2,0,2,48,1,1,2,82,48,10
"9",9,NA,1,6,13,1,2,0,0,0,0,0,0,2100000,0,2,2,0,2,60,1,1,2,82,60,2
"10",10,NA,1,6,13,2,20,0,0,0,0,0,0,908526,0,2,1,0,2,48,1,1,2,2,48,20
"11",11,NA,1,6,15,1,7,0,0,0,0,0,0,1200000,0,2,2,0,2,50,2,NA,NA,36,50,7
"12",12,2,1,6,11,1,7,0,0,0,2,0,0,1100000,0,2,2,0,2,48,1,2,2,84,48,9
"13",13,NA,1,6,16,2,21,0,0,0,0,0,0,1400000,0,2,1,0,2,54,1,2,2,24,54,21
"14",14,2,1,6,9,2,28,0,0,0,35,0,0,6e+05,0,2,1,0,2,30,1,NA,1,3,30,63
"15",15,1,2,6,0,2,10,0,0,0,0,0,0,4e+05,0,2,2,0,2,40,2,NA,NA,120,40,10
"16",16,2,1,6,11,1,21,0,0,0,0,0,0,3e+05,0,2,1,0,2,40,2,NA,NA,12,40,21
"17",17,NA,1,6,11,2,7,0,0,0,0,0,0,908526,0,2,2,0,2,48,1,2,2,192,48,7
"18",18,1,1,6,2,1,0,0,0,0,0,0,0,1410000,0,2,2,0,2,48,1,NA,1,3,48,0
"19",19,2,1,6,5,2,14,0,0,0,0,0,0,908000,0,2,2,0,2,48,1,1,2,1,48,14
"20",20,NA,1,6,11,2,14,0,0,0,0,0,0,908000,0,2,2,0,2,48,1,2,2,1,48,14
"21",21,2,1,6,13,1,14,0,0,0,0,0,0,1e+06,0,2,2,0,2,48,2,NA,NA,12,48,14
"22",22,NA,1,6,9,1,0,0,0,0,0,0,0,7e+05,0,2,2,0,2,30,1,NA,1,12,30,0
"23",23,NA,1,6,13,2,0,0,0,0,0,0,0,1200000,0,2,2,0,2,48,1,1,2,36,48,0
"24",24,NA,1,6,14,2,2,0,0,0,0,0,0,2e+06,0,2,2,0,2,48,1,1,2,36,48,2
"25",25,NA,1,6,13,1,2,0,0,0,10,0,0,908526,0,2,2,0,2,40,1,1,2,60,40,12
"26",26,NA,1,6,11,1,0,0,0,0,0,0,0,908526,0,2,1,0,2,48,1,2,2,8,48,0
"27",27,2,1,6,5,1,0,0,0,0,5,0,0,908526,0,2,2,0,2,48,1,NA,1,2,48,5
"28",28,2,1,6,13,1,10,0,0,0,0,0,0,1e+06,0,2,2,0,2,60,1,1,2,128,60,10
"29",29,NA,1,6,16,2,20,0,0,0,0,0,0,3200000,0,2,2,0,2,60,1,1,2,96,60,20
"30",30,1,1,6,11,2,12,0,0,0,0,0,0,6e+05,0,2,2,0,2,60,2,NA,NA,12,60,12
"31",31,2,1,6,7,1,4,0,0,0,0,0,0,3500000,0,2,2,0,2,50,2,NA,NA,18,50,4
"32",32,NA,1,6,11,2,20,0,0,0,0,0,0,908526,0,2,2,0,2,40,1,NA,1,18,40,20
"33",33,2,1,6,16,2,21,0,0,0,28,0,0,1900000,0,2,1,0,2,20,2,NA,NA,120,20,49
"34",34,NA,1,6,18,1,7,0,0,0,0,0,0,2200000,0,2,2,0,2,50,1,1,2,168,50,7
"35",35,1,1,6,9,1,1,0,0,0,0,0,0,908526,0,2,2,0,2,48,1,1,2,18,48,1
"36",36,NA,1,6,9,2,18,0,0,0,0,0,0,0,0,2,1,0,2,8,2,NA,NA,0,8,18
"37",37,NA,1,6,11,1,0,0,0,0,0,0,0,908526,0,2,1,0,2,50,1,NA,1,2,50,0
"38",38,2,1,6,10,2,10,0,0,0,0,0,0,1400000,0,2,2,0,2,48,1,NA,1,36,48,10
"39",39,NA,1,6,11,1,0,0,0,0,0,0,0,908526,0,2,1,0,2,48,1,2,2,2,48,0
"40",40,2,1,6,12,2,20,0,0,0,0,0,0,870000,0,2,2,0,2,50,1,NA,1,12,50,20
"41",41,1,1,6,11,1,15,0,0,0,0,0,0,1400000,0,2,1,0,2,30,2,NA,NA,20,30,15
