"","ESTU_GENERO","FAMI_ESTRATOVIVIENDA","FAMI_PERSONASHOGAR","FAMI_CUARTOSHOGAR","FAMI_TIENEINTERNET","FAMI_NUMLIBROS","ESTU_DEDICACIONINTERNET","ESTU_DEDICACIONLECTURADIARIA","COLE_NATURALEZA","COLE_GENERO","COLE_AREA_UBICACION","PUNT_LECTURA_CRITICA","PUNT_MATEMATICAS","PUNT_C_NATURALES","PUNT_INGLES","PUNT_GLOBAL"
"1","M","Estrato 1","1 a 2","Dos","No","MÁS DE 100 LIBROS","No Navega Internet","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",49,34,44,36,205
"2","F","Estrato 1","5 a 6","Cuatro","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Más de 2 horas","NO OFICIAL","MIXTO","URBANO",63,61,63,60,313
"3","F","Estrato 1","3 a 4","Tres","Si","0 A 10 LIBROS","30 minutos o menos","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",51,46,43,42,231
"4","M","Estrato 1","5 a 6","Tres","Si","11 A 25 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",61,61,62,70,304
"5","F","Estrato 1","3 a 4","Dos","Si","11 A 25 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",71,62,66,60,332
"6","M","Estrato 1","5 a 6","Cuatro","Si","0 A 10 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",38,47,37,30,203
"7","F","Estrato 1","3 a 4","Tres","Si","11 A 25 LIBROS","Entre 30 y 60 minutos","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",52,46,47,50,242
"8","M","Estrato 1","3 a 4","Dos","Si","26 A 100 LIBROS","30 minutos o menos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",43,36,44,42,201
"9","M","Estrato 1","3 a 4","Dos","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","RURAL",75,76,77,68,375
"10","F","Estrato 1","3 a 4","Tres","Si","26 A 100 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",76,62,56,61,327
