YEAR	IIP
1996	-26535.5105654933
1997	-35424.4380760958
1998	-33480.7515605783
1999	-28407.3024622958
2000	-22288.785145408
2001	-24997.0258896082
2002	-27008.5977149709
2003	-29143.8427955605
2004	-31114.4854295953
2005	-33747.7228951249
2006	-37342.9830180153
2007	-37342.9830180153
2008	-52012.3177883638
2009	-57270.4330675922
2010	-66255.0873863813
2011	-75656.9230381473
2012	-85871.0762257572
2013	-96841.8267229198
2014	-107713.491541016
2015	-114679.000844602
2016	-129982.98853313
2017	-138986.256367441
2018	-148190.952121932
2019	-157980.857484826
2020	-159486.155778338
2021	-161334.269246234
